[257961,766997] [273041,792010]
[922986,748049] [941004,724970]
[167968,420017] [183103,394997]
[30999,326997] [54002,345038]
[901997,103005] [913024,75999]
[437992,684008] [444065,654995]
[235994,833942] [265000,840005]
[884959,128992] [902014,153015]
[233988,454985] [263004,461011]
[280959,455016] [295024,428975]
[891994,200043] [916014,182997]
[175999,581262] [206005,578969]
[737976,261989] [757009,285072]
[950999,112582] [981000,112616]
[434988,549900] [464003,557015]
[946977,103001] [948134,72998]
[905978,464989] [926007,487005]
[652012,194062] [630996,172983]
[597990,218997] [600091,249002]
[220959,111987] [223074,142003]
[456963,405004] [476008,381983]
[552970,74012] [579006,58958]
[523101,587004] [519943,556982]
[741969,175996] [750022,205017]
[577989,474998] [607015,483057]
[672957,439969] [688007,466010]
[578960,979000] [583046,948983]
[943916,637995] [955067,666003]
[671980,805974] [696014,824002]
[364927,381010] [370088,350989]
[490995,925967] [500001,955019]
[191968,973001] [217020,955985]
[853964,629973] [879021,647014]
[94876,582001] [100034,551999]
[785991,529045] [813031,514990]
[25986,970016] [40014,942975]
[20987,694029] [49001,681977]
[160965,553993] [175013,581006]
[747990,680972] [770032,702000]
[237995,23977] [258025,47034]
[729887,107001] [730390,75993]
[303997,760430] [335005,759963]
[37999,859021] [67005,848931]
[865998,540938] [897000,542043]
[949998,843009] [972021,821993]
[860985,208004] [891002,200984]
[538992,292985] [569014,300035]
[772995,8184] [804002,6922]
[533816,828999] [534206,860001]
[73997,788936] [105010,791053]
[635992,857017] [644009,826994]
[516989,726057] [545012,712983]
[413996,168956] [445001,170048]
[66990,412008] [78018,382977]
[603968,190026] [630000,172985]
[72935,350991] [78040,382004]
[658044,302016] [645996,272989]
[706989,363924] [738006,370004]
[650074,598994] [629989,623028]
[41981,467016] [58026,439996]
[147943,53004] [158086,22992]
[474994,22939] [506001,30013]
[608998,60096] [640005,52958]
[132959,472988] [135044,505007]
[499973,792006] [529014,778954]
[289998,944954] [319006,958037]
[979976,199004] [980096,166994]
[927985,773060] [957009,759998]
[781999,990937] [814002,994069]
[2962,585998] [16019,615005]
[282989,653971] [305016,677039]
[766910,735006] [770107,702999]
[791978,392995] [807002,421012]
[29994,211018] [38001,179995]
[839004,858997] [834981,891009]
[602981,350000] [628015,329958]
[564972,174999] [582008,202024]
[63950,756970] [73014,788001]
[19939,125999] [46055,145002]
[153909,520994] [160033,553020]
[76039,598991] [70997,631019]
[670970,428044] [701003,415989]
[284063,726989] [276991,759001]
[193977,195979] [226000,203166]
[717992,696063] [747003,680982]
[116896,249001] [117013,215998]
[395968,197025] [413071,168998]
[861970,688006] [883018,662998]
[547274,644999] [546918,678002]
[879983,647086] [911001,635912]
[652995,194954] [674038,220046]
[994950,579011] [998011,545982]
[934997,415061] [963001,397954]
[183891,394003] [187138,360996]
[517999,421988] [535018,450016]
[671005,805947] [644993,826000]
[49958,681979] [59013,714003]
[119986,152017] [125018,118988]
[87998,99935] [121017,106035]
[594966,950965] [613006,979016]
[849998,75898] [882006,86042]
[831999,369979] [850025,398003]
[729980,107996] [736004,141028]
[483995,538000] [494018,505971]
[187939,360006] [201006,328988]
[802997,99980] [833014,115032]
[284984,726000] [302010,696996]
[143980,595050] [175021,581976]
[215999,683844] [250014,686004]
[283997,222010] [317004,213932]
[871993,16022] [906003,14979]
[304972,990008] [319026,958988]
[881999,998012] [915018,988992]
[198945,32011] [225022,9985]
[904926,599999] [919003,631014]
